"GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),Numeric,Value,Low,High"
"TB_1,Tuberculosis treatment coverage,2014,2014,2014,AFR,Africa,KEN,Kenya,45,45 [25-100],25,100"
"TB_hivtest_pct,TB patients with known HIV status (%),2007,2007,2007,AFR,Africa,KEN,Kenya,79,79,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2011,2011,2011,AFR,Africa,KEN,Kenya,392,392,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2000,2000,2000,AFR,Africa,KEN,Kenya,95000,95 000 [35 000-183 000],35000,183000"
"TB_hivtest_pct,TB patients with known HIV status (%),2008,2008,2008,AFR,Africa,KEN,Kenya,83,83,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2009,2009,2009,AFR,Africa,KEN,Kenya,82,82,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2020,2020,2020,AFR,Africa,KEN,Kenya,80,80,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2020,2020,2020,AFR,Africa,KEN,Kenya,71060,71060,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2012,2012,2012,AFR,Africa,KEN,Kenya,202,202,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2011,2011,2011,AFR,Africa,KEN,Kenya,85000,85 000 [30 000-169 000],30000,169000"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2011,2011,2011,AFR,Africa,KEN,Kenya,156,156,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2020,2020,2020,AFR,Africa,KEN,Kenya,72,72,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2007,2007,2007,AFR,Africa,KEN,Kenya,80,80,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2015,2015,2015,AFR,Africa,KEN,Kenya,33,33,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2013,2013,2013,AFR,Africa,KEN,Kenya,166,166 [68-306],68,306"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2012,2012,2012,AFR,Africa,KEN,Kenya,83,83,,"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2010,2010,2010,AFR,Africa,KEN,Kenya,0,0,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2008,2008,2008,AFR,Africa,KEN,Kenya,100000,100 000 [30 000-211 000],30000,211000"
"TB_1,Tuberculosis treatment coverage,2006,2006,2006,AFR,Africa,KEN,Kenya,45,45 [20-190],20,190"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2022,2022,2022,AFR,Africa,KEN,Kenya,62,62,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2007,2007,2007,AFR,Africa,KEN,Kenya,112000,112 000 [29 000-251 000],29000,251000"
"TB_e_inc_num,Number of incident tuberculosis cases,2005,2005,2005,AFR,Africa,KEN,Kenya,225000,225 000 [56 000-510 000],56000,510000"
"TB_hivtest_pct,TB patients with known HIV status (%),2009,2009,2009,AFR,Africa,KEN,Kenya,88,88,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2014,2014,2014,AFR,Africa,KEN,Kenya,95,95,,"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2019,2019,2019,AFR,Africa,KEN,Kenya,56,56,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2013,2013,2013,AFR,Africa,KEN,Kenya,160,160,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2008,2008,2008,AFR,Africa,KEN,Kenya,72,72,,"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2022,2022,2022,AFR,Africa,KEN,Kenya,1400,1400 [680-2100],680,2100"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2014,2014,2014,AFR,Africa,KEN,Kenya,644,644,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2013,2013,2013,AFR,Africa,KEN,Kenya,78,78,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2019,2019,2019,AFR,Africa,KEN,Kenya,80,80,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2016,2016,2016,AFR,Africa,KEN,Kenya,45,45,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2012,2012,2012,AFR,Africa,KEN,Kenya,260,260,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2001,2001,2001,AFR,Africa,KEN,Kenya,77,77,,"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2017,2017,2017,AFR,Africa,KEN,Kenya,1900,1900 [800-3000],800,3000"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2006,2006,2006,AFR,Africa,KEN,Kenya,337,337 [80-775],80,775"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2007,2007,2007,AFR,Africa,KEN,Kenya,0,0,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2004,2004,2004,AFR,Africa,KEN,Kenya,100573,100573,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2009,2009,2009,AFR,Africa,KEN,Kenya,102997,102997,,"
"TB_1,Tuberculosis treatment coverage,2020,2020,2020,AFR,Africa,KEN,Kenya,54,54 [37-89],37,89"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2005,2005,2005,AFR,Africa,KEN,Kenya,325,325 [67-780],67,780"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2014,2014,2014,AFR,Africa,KEN,Kenya,78,78,,"
"TB_1,Tuberculosis treatment coverage,2001,2001,2001,AFR,Africa,KEN,Kenya,46,46 [24-130],24,130"
"TB_c_newinc,Tuberculosis - new and relapse cases,2016,2016,2016,AFR,Africa,KEN,Kenya,76335,76335,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2017,2017,2017,AFR,Africa,KEN,Kenya,95,95,,"
"TB_1,Tuberculosis treatment coverage,2002,2002,2002,AFR,Africa,KEN,Kenya,46,46 [23-140],23,140"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,1997,1997,1997,AFR,Africa,KEN,Kenya,55,55,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2002,2002,2002,AFR,Africa,KEN,Kenya,174000,174 000 [57 000-356 000],57000,356000"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2001,2001,2001,AFR,Africa,KEN,Kenya,499,499 [178-982],178,982"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2022,2022,2022,AFR,Africa,KEN,Kenya,245,245 [144-361],144,361"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2020,2020,2020,AFR,Africa,KEN,Kenya,92,92,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2002,2002,2002,AFR,Africa,KEN,Kenya,77,77,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,1997,1997,1997,AFR,Africa,KEN,Kenya,65,65,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2012,2012,2012,AFR,Africa,KEN,Kenya,95,95,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2018,2018,2018,AFR,Africa,KEN,Kenya,74,74,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2012,2012,2012,AFR,Africa,KEN,Kenya,0.25,0.25,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2023,2023,2023,AFR,Africa,KEN,Kenya,50,50 [33-71],33,71"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2005,2005,2005,AFR,Africa,KEN,Kenya,20,20,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2020,2020,2020,AFR,Africa,KEN,Kenya,251,251 [152-372],152,372"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2002,2002,2002,AFR,Africa,KEN,Kenya,100000,100 000 [29 000-215 000],29000,215000"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2021,2021,2021,AFR,Africa,KEN,Kenya,75,75,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2021,2021,2021,AFR,Africa,KEN,Kenya,63,63 [38-93],38,93"
"TB_c_newinc,Tuberculosis - new and relapse cases,2021,2021,2021,AFR,Africa,KEN,Kenya,76010,76010,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2013,2013,2013,AFR,Africa,KEN,Kenya,443,443 [182-816],182,816"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2023,2023,2023,AFR,Africa,KEN,Kenya,223,223 [128-338],128,338"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2011,2011,2011,AFR,Africa,KEN,Kenya,12,12,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2000,2000,2000,AFR,Africa,KEN,Kenya,76,76,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2014,2014,2014,AFR,Africa,KEN,Kenya,87,87,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2019,2019,2019,AFR,Africa,KEN,Kenya,97,97,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2022,2022,2022,AFR,Africa,KEN,Kenya,89,89,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2022,2022,2022,AFR,Africa,KEN,Kenya,133000,133 000 [78 000-196 000],78000,196000"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2006,2006,2006,AFR,Africa,KEN,Kenya,124000,124 000 [29 000-286 000],29000,286000"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2018,2018,2018,AFR,Africa,KEN,Kenya,1700,1700 [810-2600],810,2600"
"TB_1,Tuberculosis treatment coverage,2017,2017,2017,AFR,Africa,KEN,Kenya,53,53 [34-97],34,97"
"TB_hivtest_pct,TB patients with known HIV status (%),2018,2018,2018,AFR,Africa,KEN,Kenya,98,98,,"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2020,2020,2020,AFR,Africa,KEN,Kenya,1400,1400 [740-2100],740,2100"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2015,2015,2015,AFR,Africa,KEN,Kenya,82,82,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2014,2014,2014,AFR,Africa,KEN,Kenya,195000,195 000 [84 000-351 000],84000,351000"
"TB_c_new_tsr,Treatment success rate: new TB cases,2006,2006,2006,AFR,Africa,KEN,Kenya,83,83,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2019,2019,2019,AFR,Africa,KEN,Kenya,76,76,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2017,2017,2017,AFR,Africa,KEN,Kenya,157000,157 000 [86 000-248 000],86000,248000"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2023,2023,2023,AFR,Africa,KEN,Kenya,1200,1200 [570-1900],570,1900"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2021,2021,2021,AFR,Africa,KEN,Kenya,489,489,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2008,2008,2008,AFR,Africa,KEN,Kenya,61,61,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2014,2014,2014,AFR,Africa,KEN,Kenya,82,82,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2012,2012,2012,AFR,Africa,KEN,Kenya,92987,92987,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2016,2016,2016,AFR,Africa,KEN,Kenya,95,95,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2007,2007,2007,AFR,Africa,KEN,Kenya,81,81,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,1998,1998,1998,AFR,Africa,KEN,Kenya,77,77,,"
"TB_1,Tuberculosis treatment coverage,2019,2019,2019,AFR,Africa,KEN,Kenya,62,62 [42-100],42,100"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2005,2005,2005,AFR,Africa,KEN,Kenya,17,17,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2001,2001,2001,AFR,Africa,KEN,Kenya,80,80,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2001,2001,2001,AFR,Africa,KEN,Kenya,310,310 [100-637],100,637"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2015,2015,2015,AFR,Africa,KEN,Kenya,60000,60 000 [28 000-102 000],28000,102000"
"TB_c_newinc,Tuberculosis - new and relapse cases,2000,2000,2000,AFR,Africa,KEN,Kenya,64159,64159,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2021,2021,2021,AFR,Africa,KEN,Kenya,73,73,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2011,2011,2011,AFR,Africa,KEN,Kenya,93,93,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2011,2011,2011,AFR,Africa,KEN,Kenya,97320,97320,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2021,2021,2021,AFR,Africa,KEN,Kenya,473,473,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2022,2022,2022,AFR,Africa,KEN,Kenya,30000,30 000 [19 000-44 000],19000,44000"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2012,2012,2012,AFR,Africa,KEN,Kenya,83,83,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2022,2022,2022,AFR,Africa,KEN,Kenya,24,24,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2022,2022,2022,AFR,Africa,KEN,Kenya,351,351,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2006,2006,2006,AFR,Africa,KEN,Kenya,239000,239 000 [56 000-549 000],56000,549000"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2009,2009,2009,AFR,Africa,KEN,Kenya,184,184,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2011,2011,2011,AFR,Africa,KEN,Kenya,64,64,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2007,2007,2007,AFR,Africa,KEN,Kenya,82,82,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2003,2003,2003,AFR,Africa,KEN,Kenya,610,610 [161-1350],161,1350"
"TB_e_inc_num,Number of incident tuberculosis cases,2018,2018,2018,AFR,Africa,KEN,Kenya,146000,146 000 [85 000-224 000],85000,224000"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2020,2020,2020,AFR,Africa,KEN,Kenya,85,85,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2010,2010,2010,AFR,Africa,KEN,Kenya,91,91,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2014,2014,2014,AFR,Africa,KEN,Kenya,85,85,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2008,2008,2008,AFR,Africa,KEN,Kenya,84,84,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2001,2001,2001,AFR,Africa,KEN,Kenya,98000,98 000 [32 000-201 000],32000,201000"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2004,2004,2004,AFR,Africa,KEN,Kenya,329,329 [68-792],68,792"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2015,2015,2015,AFR,Africa,KEN,Kenya,16,16,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2016,2016,2016,AFR,Africa,KEN,Kenya,68,68,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2011,2011,2011,AFR,Africa,KEN,Kenya,199,199 [70-394],70,394"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2013,2013,2013,AFR,Africa,KEN,Kenya,290,290,,"
"TB_1,Tuberculosis treatment coverage,2005,2005,2005,AFR,Africa,KEN,Kenya,46,46 [20-180],20,180"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2020,2020,2020,AFR,Africa,KEN,Kenya,33000,33 000 [21 000-47 000],21000,47000"
"TB_1,Tuberculosis treatment coverage,2018,2018,2018,AFR,Africa,KEN,Kenya,65,65 [42-110],42,110"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2021,2021,2021,AFR,Africa,KEN,Kenya,253,253 [152-377],152,377"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2009,2009,2009,AFR,Africa,KEN,Kenya,140,140,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2016,2016,2016,AFR,Africa,KEN,Kenya,53000,53 000 [27 000-86 000],27000,86000"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2010,2010,2010,AFR,Africa,KEN,Kenya,6.7,6.7,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2013,2013,2013,AFR,Africa,KEN,Kenya,79,79,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2008,2008,2008,AFR,Africa,KEN,Kenya,81,81,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2017,2017,2017,AFR,Africa,KEN,Kenya,319,319 [175-505],175,505"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2012,2012,2012,AFR,Africa,KEN,Kenya,89,89,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2007,2007,2007,AFR,Africa,KEN,Kenya,48,48,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2016,2016,2016,AFR,Africa,KEN,Kenya,308,308,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,1995,1995,1995,AFR,Africa,KEN,Kenya,75,75,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2017,2017,2017,AFR,Africa,KEN,Kenya,394,394,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2018,2018,2018,AFR,Africa,KEN,Kenya,27,27,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2013,2013,2013,AFR,Africa,KEN,Kenya,22,22,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2012,2012,2012,AFR,Africa,KEN,Kenya,471,471 [181-897],181,897"
"TB_1,Tuberculosis treatment coverage,2023,2023,2023,AFR,Africa,KEN,Kenya,77,77 [51-130],51,130"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2006,2006,2006,AFR,Africa,KEN,Kenya,100,100,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2010,2010,2010,AFR,Africa,KEN,Kenya,82,82,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2003,2003,2003,AFR,Africa,KEN,Kenya,80,80,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2000,2000,2000,AFR,Africa,KEN,Kenya,309,309 [116-597],116,597"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2022,2022,2022,AFR,Africa,KEN,Kenya,84,84,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2010,2010,2010,AFR,Africa,KEN,Kenya,41,41,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2015,2015,2015,AFR,Africa,KEN,Kenya,81292,81292,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2003,2003,2003,AFR,Africa,KEN,Kenya,75,75,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2010,2010,2010,AFR,Africa,KEN,Kenya,221000,221 000 [73 000-449 000],73000,449000"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2017,2017,2017,AFR,Africa,KEN,Kenya,78,78,,"
"TB_1,Tuberculosis treatment coverage,2003,2003,2003,AFR,Africa,KEN,Kenya,46,46 [21-170],21,170"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2008,2008,2008,AFR,Africa,KEN,Kenya,254,254 [76-537],76,537"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2007,2007,2007,AFR,Africa,KEN,Kenya,618,618 [159-1380],159,1380"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2013,2013,2013,AFR,Africa,KEN,Kenya,37,37,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2018,2018,2018,AFR,Africa,KEN,Kenya,94534,94534,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2010,2010,2010,AFR,Africa,KEN,Kenya,91000,91 000 [29 000-185 000],29000,185000"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2004,2004,2004,AFR,Africa,KEN,Kenya,76,76,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2016,2016,2016,AFR,Africa,KEN,Kenya,109,109 [56-180],56,180"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2009,2009,2009,AFR,Africa,KEN,Kenya,78,78,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2005,2005,2005,AFR,Africa,KEN,Kenya,116000,116 000 [24 000-279 000],24000,279000"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2018,2018,2018,AFR,Africa,KEN,Kenya,97,97,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2011,2011,2011,AFR,Africa,KEN,Kenya,0.25,0.25,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2019,2019,2019,AFR,Africa,KEN,Kenya,686,686,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2021,2021,2021,AFR,Africa,KEN,Kenya,87,87,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2009,2009,2009,AFR,Africa,KEN,Kenya,101000,101 000 [30 000-213 000],30000,213000"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2009,2009,2009,AFR,Africa,KEN,Kenya,0,0,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2004,2004,2004,AFR,Africa,KEN,Kenya,220000,220 000 [54 000-500 000],54000,500000"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2015,2015,2015,AFR,Africa,KEN,Kenya,83,83,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2019,2019,2019,AFR,Africa,KEN,Kenya,267,267 [163-396],163,396"
"TB_e_inc_num,Number of incident tuberculosis cases,2023,2023,2023,AFR,Africa,KEN,Kenya,124000,124 000 [71 000-187 000],71000,187000"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2018,2018,2018,AFR,Africa,KEN,Kenya,292,292 [170-446],170,446"
"TB_e_inc_num,Number of incident tuberculosis cases,2000,2000,2000,AFR,Africa,KEN,Kenya,138000,138 000 [56 000-257 000],56000,257000"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2013,2013,2013,AFR,Africa,KEN,Kenya,82,82,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,1995,1995,1995,AFR,Africa,KEN,Kenya,72,72,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2013,2013,2013,AFR,Africa,KEN,Kenya,199000,199 000 [82 000-367 000],82000,367000"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2007,2007,2007,AFR,Africa,KEN,Kenya,37,37,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2016,2016,2016,AFR,Africa,KEN,Kenya,31,31,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2016,2016,2016,AFR,Africa,KEN,Kenya,168000,168 000 [86 000-276 000],86000,276000"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2020,2020,2020,AFR,Africa,KEN,Kenya,97,97,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2010,2010,2010,AFR,Africa,KEN,Kenya,48,48,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2013,2013,2013,AFR,Africa,KEN,Kenya,94,94,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2009,2009,2009,AFR,Africa,KEN,Kenya,44,44,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2019,2019,2019,AFR,Africa,KEN,Kenya,86,86,,"

